"","N1","N2","B1","C1","N3","N4","N5","N6","Target"
"1",54.9671415301123,16.8236579108492,"False","Level4",2.11310573230873,1,15,34.0171183460741,179.41309466558
"2",48.6173569882882,18.993474366102,"False","Level3",2.15336487046155,1,12,29.6695237874745,163.271035529447
"3",56.4768853810069,46.0712171348275,"True","Level1",3.91549631336717,3,12,32.2137090240204,223.694654826895
"4",65.2302985640803,28.6279862111941,"False","Level4",2.41850003832646,6,5,24.6597926033104,209.742642257137
"5",47.6584662527666,24.7462981233146,"True","Level3",0.00713372802584109,3,10,12.6354967556829,180.888479866321
"6",47.6586304305082,64.5237644553332,"True","Level4",6.57959003705355,2,2,17.5487153759969,221.623201322076
"7",65.7921281550739,65.0971745218545,"True","Level1",6.96593110719531,2,8,33.7129676927035,261.431901466015
"8",57.6743472915291,82.4517069799929,"False","Level3",6.87132709279946,2,5,2.99510549994001,268.856720661995
"10",55.4256004358596,7.30850910261502,"False","Level4",3.69375161318602,3,13,24.9911514503959,167.099913624153
"11",45.3658230718754,27.3666384921458,"False","Level3",2.23122862817753,1,13,6.4410836327942,161.158526014053
"12",45.3427024642974,98.0005463196817,"False","Level3",0.0808318725758182,5,15,27.9370757934862,272.222281363098
"13",52.4196227156603,59.6258575232702,"False","Level1",4.13280937164358,2,15,17.8639736255584,230.08704319916
"14",30.867197553422,70.973708480102,"False","Level2",0.660580065642735,3,11,15.889655124376,205.320632604593
"15",32.7508216748697,0.735782962541454,"False","Level4",0.41713263719284,3,10,48.2809837804366,92.8734980349418
"16",44.3771247075903,51.8205732182521,"True","Level3",7.04268080531685,5,6,23.3662852788261,196.782173818745
"17",39.8716887966558,3.75286575318031,"False","Level3",0.0477583738467596,4,5,50.4284251163272,116.214467280514
"18",53.1424733259527,56.9230212091448,"True","Level3",15.9719458758149,6,5,47.56453839072,213.56473925427
"19",40.9197592447879,92.0770849636075,"True","Level4",3.62066525325259,4,8,7.19779546003773,253.255676374557
"20",35.8769629866471,96.8419130500408,"True","Level1",20.3775445721316,1,1,22.2453282002034,214.215636996668
"21",64.6564876892155,54.0552675388924,"True","Level2",0.29873713708108,4,2,14.6357676652629,244.527957622754
"22",47.7422369951346,45.8204805252216,"False","Level4",4.37969882774228,2,17,21.2498798069105,194.898998643515
"24",35.7525181378654,67.3609831996695,"True","Level4",9.27293704128603,5,9,38.2237238421269,192.34281222491
"25",44.5561727547482,6.48992795384095,"True","Level4",2.24099726905232,2,4,52.2923658513568,136.082165112227
"26",51.1092258970987,46.5725577667498,"True","Level3",1.5088210028289,2,7,37.9370559600642,206.11826522106
"27",38.490064225777,24.0245018464304,"False","Level1",9.74393085271259,1,10,28.8832290495589,141.063572825851
"28",53.7569801834567,46.9804321448682,"True","Level3",2.34724364938045,4,16,38.3034267407506,227.449380464954
"29",43.993613100812,45.5465572006362,"True","Level3",0.0848830525183516,2,10,52.2004618107543,190.847713262443
